propertyid,price,township,neighborhood,censustract,community,zipcode,homeowner,white,black,asian,hispanic,college,medhinc,poverty,walls,rooms,beds,basement,basementfin,centralheat,otherheat,ac,fireplaces,attic,atticfin,fullbathrooms,halfbathrooms,garagesize,garageconstruction,garageattached,porch,squarefoot,age
1,,"13","1324",843700,"North Center",60618,0,.782239,.0500709,.1346245,.2437411,.4681247,79688,.102839,"Wood frame",5,2,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,0,2,"Wood frame","No","Wood",1243,95
2,,"19","1915",640100,"Clearing",60629,1,.639967,.0429397,.2906689,.6218002,.0634779,36689,.083147,"Wood frame",4,3,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1127,93
3,,"25","2511",500100,"Pullman",60628,0,.0065862,.9802415,.0021954,.0098793,.0940656,47381,.145248,"Masonry",5,2,"Full basement","Formal rec-room","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1082,59
4,,"13","1316",150300,"Portage Park",60641,0,.8099472,.0125035,.1380939,.2609058,.1734228,55551,.109049,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1524,78
5,,"13","1310",140400,"Albany Park",60630,1,.5903013,.0174871,.3357825,.3256429,.195022,43628,.15022,"Masonry",4,2,"Full basement","Formal rec-room","Warm air","None","No",0,"Full","Unfinished",1,0,2,"Wood frame","No","Wood",815,82
6,,"13","1317",150402,"Portage Park",60634,0,.768914,.0102934,.1793618,.3149768,.1144728,58125,.111853,"Wood frame",4,3,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,0,"N/A",0,"N/A",1176,82
7,,"14","1431",832200,"Logan Square",60647,1,.8704082,.0190476,.0823129,.1394558,.6315789,89420,.075141,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,0,2,"Wood frame","No","N/A",1167,108
8,,"10","1036",20601,"West Ridge",60645,1,.6151425,.0478514,.2836455,.15898,.2035811,43047,.276708,"Masonry",7,4,"Partial basement","Formal rec-room","Warm air","None","Yes",0,"None",0,1,1,0,"N/A",0,"N/A",1224,43
9,,"13","1320",150600,"Portage Park",60634,1,.7578669,.0120106,.1871247,.3713668,.1617816,60609,.097274,"Wood frame",4,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,0,"N/A",0,"N/A",882,87
10,,"12","1224",170500,"Dunning",60634,1,.8819277,.0084337,.0849398,.1923695,.1836629,77802,.053422,"Wood frame and masonry",5,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,0,"N/A",0,"N/A",975,65
11,,"20","2011",390600,"Kenwood",60615,1,.465702,.414791,.0744909,.0316184,.53946,57768,.120457,"Masonry",13,6,"Full basement","Unfinished","Steam","None","No",2,"None",0,3,1,0,"N/A",0,"N/A",4939,95
12,,"16","1635",580300,"Brighton Park",60632,1,.4377576,.0111294,.5115416,.8635614,.0367856,29167,.156339,"Masonry",5,3,"Full basement","Formal rec-room","Warm air","None","No",0,"None",0,1,0,2,"Wood frame","No","N/A",1104,48
13,,"13","1336",221400,"Logan Square",60647,0,.6142384,.0254967,.3211921,.5890728,.1995428,45724,.215545,"Wood frame",5,2,"Full basement","Unfinished","Warm air","None","No",0,"Full","Unfinished",1,0,1,"Wood frame","No","N/A",852,111
14,,"13","1327",200100,"Hermosa",60641,1,.5381259,.0312356,.3821773,.7657326,.0438055,46346,.115242,"Masonry",5,2,"Full basement","Formal rec-room","Warm air","None","No",0,"Full","Unfinished",2,0,2,"Wood frame","No","Wood",1032,84
15,,"17","1707",243000,"West Town",60612,0,.7209619,.034029,.2127949,.3516334,.3699978,66755,.165756,"Masonry",8,4,"Full basement","Unfinished","Warm air","None","Yes",1,"None",0,3,1,2,"Masonry","No","N/A",3114,2
16,,"20","2025",430800,"South Shore",60649,0,.0107771,.9727737,.0051049,.0175837,.206839,34782,.216847,"Stucco",7,4,"Full basement","Unfinished","Steam","None","No",1,"None",0,2,1,2,"Wood frame","No","N/A",1988,106
17,,"24","2414",740300,"Mount Greenwood",60655,0,.9582007,.0116698,.0157013,.0649268,.2235371,87268,.004164,"Wood frame",4,2,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1001,56
18,,"17","1707",243000,"West Town",60622,1,.7209619,.034029,.2127949,.3516334,.3699978,66755,.165756,"Masonry",4,2,"Full basement","Unfinished","None","None","No",0,"Full","Unfinished",1,0,2,"Wood frame","No","Wood",1160,125
19,,"13","1319",171000,"Dunning",60634,1,.8211884,.0111157,.1380541,.2431728,.1741742,58100,.079195,"Masonry",6,3,"Partial basement","Formal rec-room","Warm air","None","Yes",0,"Partial","Unfinished",1,0,2,"Masonry","No","Wood",1080,54
20,,"19","1918",640400,"Clearing",60638,0,.846395,.0053292,.1159875,.3169279,.0826802,66042,.029199,"Wood frame",5,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,2,"Wood frame","No","N/A",840,54
21,,"19","1918",561000,"Garfield Ridge",60638,1,.884131,.0065879,.0895175,.2466576,.1691602,62500,.093756,"Masonry",7,3,"Partial basement","Unfinished","Warm air","None","Yes",0,"None",0,1,0,2,"Wood frame","No","N/A",1250,61
22,,"13","1336",240700,"West Town",60647,1,.5120521,.1289902,.3003257,.6,.2672974,55833,.265523,"Wood frame",8,3,"Full basement","Formal rec-room","Warm air","Unit heater","Yes",3,"None",0,3,1,2,"Wood frame","No","N/A",2212,1
23,,"20","2030",710400,"Auburn Gresham",60620,0,.0051318,.9826579,.0026544,.009025,.0852172,33650,.271281,"Wood frame and masonry",5,3,"Full basement","Formal rec-room","Steam","None","No",0,"Full","Unfinished",2,1,2,"Masonry","No","Wood",1596,84
24,,"19","1926",650400,"West Lawn",60629,1,.4847991,.05502,.4256266,.8441346,.0363289,44679,.227386,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","No",0,"Full","Unfinished",1,0,2,"Wood frame","No","Masonry",1108,56
25,,"26","2617",520500,"East Side",60617,1,.6754243,.0169728,.2713322,.6345036,.1232358,62965,.101205,"Masonry",4,2,"Full basement","Unfinished","Warm air","None","No",0,"Full","Unfinished",1,0,2,"Wood frame","No","N/A",822,66
26,,"13","1313",160602,"Irving Park",60618,0,.640847,.0498746,.252438,.4611312,.2432323,52353,.169697,"Wood frame",7,4,"Slab basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,0,0,"N/A",0,"N/A",1619,103
27,,"13","1328",190300,"Belmont Cragin",60641,0,.6529168,.0172592,.284087,.6325509,.0860604,42730,.121859,"Masonry",9,4,"Partial basement","Formal rec-room","Steam","None","No",0,"Full","Unfinished",2,0,0,"N/A",0,"N/A",1309,76
28,,"13","1302",130100,"North Park",60659,0,.6610169,.0099357,.2924216,.0685759,.3437809,44654,.084059,"Wood frame",7,4,"Slab basement","Unfinished","Warm air","None","Yes",0,"None",0,1,1,0,"N/A",0,"N/A",1799,52
29,,"13","1332",191302,"Belmont Cragin",60639,0,.3732618,.0629718,.5252284,.8657132,.0229474,37277,.292632,"Wood frame",4,2,"Full basement","Unfinished","Steam","None","No",0,"Full","Unfinished",1,0,0,"N/A",0,"Wood",1196,91
30,,"13","1322",161200,"Irving Park",60641,1,.5737202,.0187713,.3389078,.6409556,.1492098,59327,.038589,"Masonry",7,3,"Full basement","Formal rec-room","Warm air","None","No",0,"Full","Unfinished",1,1,1.5,"Wood frame","No","Wood",1143,77
31,,"20","2036",460500,"South Chicago",60617,1,.0096735,.9621696,.0082916,.0120919,.188214,48504,.135993,"Masonry",6,3,"Slab basement","Unfinished","Steam","None","No",1,"Full","Living area",1,0,2,"Wood frame","No","N/A",1507,87
32,,"12","1214",760802,"O'Hare",60656,1,.9481546,.0026362,.0417399,.0584359,.2184761,50288,.087211,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","Yes",0,"None",0,1,0,2,"Masonry","Yes","N/A",1148,45
33,,"19","1927",700200,"Ashburn",60652,0,.4881223,.1413224,.3353004,.6958693,.0813008,58381,.195868,"Masonry",5,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,2.5,"Wood frame","No","N/A",936,50
34,,"25","2528",530502,"West Pullman",60628,1,.0029994,.9814037,.0029994,.0113977,.1067093,39688,.197444,"Wood frame and masonry",6,3,"Full basement","Formal rec-room","Warm air","Unit heater","Yes",0,"Partial","Unfinished",1,0,2,"Wood frame","No","N/A",1008,57
35,,"13","1320",150600,"Portage Park",60634,1,.7578669,.0120106,.1871247,.3713668,.1617816,60609,.097274,"Wood frame",5,2,"Full basement","Unfinished","Warm air","None","Yes",0,"Full","Unfinished",1,0,2,"Wood frame","No","N/A",960,86
36,,"13","1309",110501,"Jefferson Park",60630,0,.737659,.0144428,.2095279,.2353956,.2549266,62552,.036688,"Masonry",7,4,"Full basement","Unfinished","Warm air","None","No",0,"Partial","Living area",1,0,2,"Masonry","No","Wood",1670,54
37,,"19","1914",650100,"West Lawn",60629,0,.5571013,.0355066,.3693937,.8461379,.0383361,41332,.190457,"Masonry",6,3,"Full basement","Unfinished","Steam","None","No",0,"None",0,1,1,2,"Wood frame","No","N/A",1282,45
38,,"13","1313",140800,"Albany Park",60625,0,.6413187,.0335531,.2776557,.407326,.3293261,67880,.147558,"Wood frame and masonry",8,3,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",2,0,0,"N/A",0,"Wood",2329,90
39,,"20","2025",431200,"South Shore",60649,0,.0107212,.9675114,.0055231,.0198181,.1810214,49417,.105512,"Wood frame and masonry",5,2,"Partial basement","Formal rec-room","Warm air","None","Yes",0,"None",0,1,1,0,"N/A",0,"N/A",1878,22
40,,"10","1032",120100,"Forest Glen",60646,0,.9023345,.0061934,.0678895,.0702716,.4396083,103929,.031677,"Wood frame and masonry",8,4,"Full basement","Formal rec-room","Warm air","None","No",1,"None",0,2,1,1,"Masonry","Yes","N/A",2443,64
41,,"14","1429",70600,"Lincoln Park",60614,0,.8822543,.0100637,.0774908,.0751426,.5535168,134018,.033979,"Masonry",7,3,"Full basement","Unfinished","Warm air","None","Yes",0,"None",0,3,0,2,"Masonry","Yes","N/A",2643,13
42,,"12","1212",100500,"Norwood Park",60656,0,.8795639,.004499,.0873854,.1038242,.2007344,77679,.011016,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,1,2,"Wood frame","No","N/A",1018,53
43,,"13","1325",210900,"Avondale",60618,1,.6121252,.0449804,.2933507,.5316167,.2179049,54188,.127448,"Masonry",6,2,"crawlspace","Unfinished","Warm air","None","Yes",0,"None",0,1,1,2,"Wood frame","Yes","N/A",1750,5
44,,"13","1319",171000,"Dunning",60634,0,.8211884,.0111157,.1380541,.2431728,.1741742,58100,.079195,"Wood frame",5,2,"Full basement","Unfinished","Steam","None","No",0,"Partial","Unfinished",1,0,1.5,"Wood frame","No","N/A",924,90
45,,"19","1923",650400,"West Lawn",60629,0,.4847991,.05502,.4256266,.8441346,.0363289,44679,.227386,"Wood frame",4,2,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",923,71
46,,"25","2503",490300,"Roseland",60619,0,.004427,.9798328,.0019675,.0054107,.2792859,38568,.209342,"Masonry",6,3,"Full basement","Formal rec-room","Electric","None","Yes",0,"None",0,2,0,2,"Masonry","No","N/A",1272,46
47,,"13","1303",120300,"Forest Glen",60646,0,.7912019,.0095837,.1633936,.097879,.427907,101402,.05881,"Masonry",6,3,"Partial basement","Formal rec-room","Warm air","None","No",0,"None",0,1,1,2,"Wood frame","No","N/A",1176,50
48,,"19","1913",660302,"Chicago Lawn",60629,1,.3260358,.2323141,.4045594,.733852,.0532258,38859,.206989,"Masonry",6,3,"Full basement","Unfinished","Steam","None","No",0,"Full","Unfinished",1,1,2,"Wood frame","No","Wood",949,91
49,,"19","1917",561100,"Garfield Ridge",60638,1,.8244868,.0038839,.1522101,.3621232,.1430623,77222,.049363,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,2,"Wood frame","No","N/A",1008,53
50,,"14","1431",240300,"West Town",60622,1,.8845862,.0060744,.0713743,.1085801,.593465,102188,.056231,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,0,1,"Wood frame","No","N/A",1152,113
51,,"17","1721",330200,"Near South Side",60605,0,.4340515,.3289543,.2088807,.038886,.4701745,74519,.09664,"Masonry",7,2,"Slab basement","Unfinished","Warm air","None","Yes",1,"None",0,2,0,1,"Masonry","Yes","N/A",1252,12
52,,"13","1329",190401,"Belmont Cragin",60634,0,.5701198,.0206718,.3601128,.6257928,.0856624,51147,.131107,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","No",0,"None",0,2,0,1,"Wood frame","No","N/A",1800,70
53,,"16","1635",580300,"Brighton Park",60632,1,.4377576,.0111294,.5115416,.8635614,.0367856,29167,.156339,"Masonry",7,3,"Slab basement","Unfinished","Warm air","None","Yes",0,"None",0,2,1,2,"Masonry","Yes","N/A",2057,3
54,,"13","1308",110300,"Jefferson Park",60630,1,.808758,.0087192,.1526836,.1749661,.2384769,67361,.076353,"Masonry",8,4,"Full basement","Formal rec-room","Warm air","None","Yes",2,"None",0,3,1,0,"N/A",0,"N/A",2780,4
55,,"13","1322",161100,"Irving Park",60641,1,.7984954,.0462117,.1106932,.161741,.4484937,98704,.110787,"Wood frame",6,3,"Full basement","Unfinished","Warm air","None","Yes",1,"None",0,2,0,1,"Wood frame","Yes","N/A",1148,4
56,,"14","1418",40600,"Lincoln Square",60625,1,.8356615,.0201315,.1023007,.1479047,.5250702,66266,.099077,"Wood frame",8,4,"Full basement","Unfinished","Steam","None","No",0,"Partial","Unfinished",2,1,2,"Wood frame","No","N/A",2154,128
57,,"13","1313",140800,"Albany Park",60625,1,.6413187,.0335531,.2776557,.407326,.3293261,67880,.147558,"Wood frame",9,4,"Full basement","Unfinished","Warm air","None","No",0,"Full","Unfinished",1,0,2,"Wood frame","No","Wood",1408,58
58,,"19","1909",560300,"Garfield Ridge",60638,1,.6652024,.0464387,.2544713,.6168811,.1038879,55200,.090351,"Wood frame",4,2,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1058,51
59,,"25","2503",440700,"Chatham",60619,0,.0064725,.9825243,.0012945,.0045307,.1501832,43500,.267399,"Masonry",4,2,"Full basement","Unfinished","Warm air","None","No",0,"Partial","Unfinished",1,0,2,"Wood frame","No","Wood",945,88
60,,"10","1025",20200,"West Ridge",60645,0,.6094967,.0925704,.2646795,.1412522,.3034019,62415,.231477,"Masonry",9,5,"Full basement","Formal rec-room","Warm air","None","Yes",0,"None",0,1,1,2,"Wood frame","No","Wood",2027,52
61,,"19","1917",561100,"Garfield Ridge",60638,1,.8244868,.0038839,.1522101,.3621232,.1430623,77222,.049363,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,2,"Wood frame","No","N/A",1032,52
62,,"19","1923",650400,"West Lawn",60629,0,.4847991,.05502,.4256266,.8441346,.0363289,44679,.227386,"Masonry",7,4,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,1,2,"Wood frame","No","N/A",990,53
63,,"24","2414",740200,"Mount Greenwood",60655,1,.908355,.051474,.0232167,.0783565,.2041631,97824,.024272,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","Yes",0,"None",0,1,1,2,"Wood frame","No","N/A",1160,34
64,,"12","1224",170700,"Dunning",60634,1,.8755034,.0043624,.092953,.1758389,.1559961,55691,.142021,"Masonry",5,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,1,0,"N/A",0,"N/A",1210,21
65,,"17","1719",310900,"Lower West Side",60608,1,.4294359,.0204958,.5028304,.8721452,.0795792,38081,.278527,"Wood frame",4,2,"Full basement","Formal rec-room","Warm air","None","No",0,"None",0,1,0,2,"Wood frame","No","N/A",1000,131
66,,"25","2507",720300,"Beverly",60643,0,.6682783,.2962665,.0179962,.0529143,.3678129,97996,.011829,"Masonry",7,3,"Full basement","Formal rec-room","Warm air","None","No",0,"None",0,1,1,2,"Wood frame","No","N/A",1288,63
67,,"19","1901",842800,"Brighton Park",60632,1,.4857295,.0132035,.4570552,.8934383,.0372712,36620,.319241,"Wood frame",3,2,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,0,2,"Wood frame","No","N/A",1007,110
68,,"19","1923",660500,"Chicago Lawn",60629,0,.4416336,.1205276,.4036863,.7945428,.0232601,39750,.277829,"Masonry",5,3,"Full basement","Formal rec-room","Steam","None","No",0,"Full","Unfinished",1,0,2,"Wood frame","No","Wood",1200,94
69,,"13","1311",140302,"Albany Park",60625,1,.4575374,.0552359,.4066743,.390794,.1888224,51056,.267939,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","No",0,"Full","Unfinished",1,0,1,"Masonry","No","N/A",1496,83
70,,"25","2507",720200,"Beverly",60643,1,.3976594,.558516,.0134462,.0413347,.2850174,69701,.140534,"Masonry",6,3,"Full basement","Formal rec-room","Warm air","None","No",0,"Partial","Unfinished",1,1,1,"Wood frame","No","N/A",1322,78
71,,"12","1212",100500,"Norwood Park",60656,1,.8795639,.004499,.0873854,.1038242,.2007344,77679,.011016,"Masonry",5,2,"Partial basement","Formal rec-room","Warm air","None","No",0,"None",0,1,0,1,"Masonry","Yes","Wood",960,68
72,,"25","2505",730202,"Washington Heights",60620,0,.0051364,.9817014,.0032103,.0067416,.11316,45322,.186919,"Masonry",5,3,"Full basement","Unfinished","Steam","Unit heater","No",0,"None",0,1,0,2,"Wood frame","No","N/A",1174,73
73,,"19","1914",620400,"West Elsdon",60629,0,.5808003,.0123124,.3686033,.8811081,.0645776,52292,.162301,"Masonry",5,2,"Full basement","Formal rec-room","Warm air","None","No",0,"Full","Unfinished",1,0,2,"Masonry","No","N/A",985,65
74,,"14","1407",30900,"Edgewater",60640,0,.7318362,.0383091,.1925363,.2215984,.4871585,69792,.039261,"Wood frame",7,3,"Full basement","Formal rec-room","Warm air","None","No",0,"Full","Living area",1,0,2,"Wood frame","No","N/A",1338,100
75,,"25","2506",720100,"Beverly",60643,0,.6266667,.3354546,.0157576,.0448485,.4893099,124435,.00406,"Masonry",7,4,"Full basement","Unfinished","Steam","None","No",1,"None",0,1,1,2,"Wood frame","No","Wood",1880,85
76,,"17","1734",839600,"Douglas",60653,0,.0461066,.9164959,.017418,.0327869,.2393208,28686,.170868,"Masonry",7,4,"Full basement","Unfinished","Steam","None","No",0,"None",0,2,0,1,"Wood frame","No","N/A",1773,118
77,,"25","2501",480100,"Calumet Heights",60617,0,.0054107,.9724545,.0103296,.0093458,.2437437,59330,.122122,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,1,2,"Wood frame","No","N/A",1375,53
78,,"25","2505",730202,"Washington Heights",60620,0,.0051364,.9817014,.0032103,.0067416,.11316,45322,.186919,"Masonry",6,4,"Full basement","Unfinished","Warm air","None","No",0,"None",0,2,0,1,"Wood frame","No","N/A",1143,61
79,,"13","1335",220902,"Logan Square",60647,1,.4740433,.0447938,.4141204,.8404034,.0813971,46518,.294609,"Wood frame",6,3,"Full basement","Unfinished","Warm air","None","No",0,"Partial","Unfinished",1,1,2,"Wood frame","No","N/A",1400,98
80,,"13","1317",150501,"Portage Park",60630,1,.8149671,.0054825,.147204,.2154605,.2042389,73102,.069364,"Wood frame",8,4,"Full basement","Formal rec-room","Warm air","None","No",0,"Full","Living area",2,0,2,"Wood frame","No","N/A",1606,85
81,,"20","2024",430200,"South Shore",60649,0,.0220085,.9448718,.0074786,.0205128,.1155448,20417,.414821,"Masonry",7,3,"Partial basement","Unfinished","Warm air","None","No",1,"Partial","Unfinished",1,1,1,"Masonry","Yes","Wood",1741,90
82,,"10","1032",120100,"Forest Glen",60646,1,.9023345,.0061934,.0678895,.0702716,.4396083,103929,.031677,"Wood frame and masonry",8,6,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,3,0,1,"Wood frame","No","N/A",3222,37
83,,"13","1331",250500,"Austin",60707,1,.5087556,.3132131,.1394269,.2491377,.2426299,67646,.106741,"Masonry",6,3,"Full basement","Unfinished","Steam","None","No",1,"Partial","Unfinished",1,0,1,"Wood frame","No","Wood",1187,70
84,,"19","1923",650400,"West Lawn",60629,0,.4847991,.05502,.4256266,.8441346,.0363289,44679,.227386,"Masonry",4,2,"Full basement","Unfinished","Warm air","None","No",0,"Full","Unfinished",1,0,2,"Wood frame","No","N/A",945,61
85,,"19","1923",650400,"West Lawn",60629,0,.4847991,.05502,.4256266,.8441346,.0363289,44679,.227386,"Wood frame and masonry",5,3,"Full basement","Unfinished","Warm air","None","Yes",0,"Full","Unfinished",1,0,1.5,"Wood frame","No","N/A",1019,62
86,,"19","1913",630800,"Gage Park",60629,0,.4567328,.0686647,.4354861,.8916561,.0398685,34300,.243212,"Wood frame",5,3,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1280,76
87,,"24","2413",750300,"Morgan Park",60655,1,.8924901,.0833992,.0130435,.0395257,.3093797,81607,.008699,"Wood frame",6,4,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,2,0,1,"Wood frame","No","N/A",2300,52
88,,"13","1308",110200,"Jefferson Park",60630,0,.7934936,.0074257,.178925,.1895332,.1695667,57641,.144661,"Masonry",6,3,"Full basement","Unfinished","Steam","None","No",0,"Full","Unfinished",1,0,2,"Wood frame","No","Wood",1278,77
89,,"14","1429",70500,"Lincoln Park",60614,1,.90403,.0331284,.0433743,.051571,.5129924,108958,.056664,"Wood frame",8,4,"Full basement","Unfinished","Warm air","None","Yes",0,"Partial","Unfinished",2,0,2,"Wood frame","No","Wood",1846,113
90,,"17","1717",833300,"Near West Side",60607,0,.5978929,.0544337,.3200175,.1172081,.2878197,56058,.400954,"Masonry",5,2,"Full basement","Unfinished","Warm air","None","Yes",0,"None",0,1,1,0,"N/A",0,"N/A",1260,23
91,,"14","1407",40401,"Lincoln Square",60625,1,.7661707,.0164942,.1788486,.211837,.444799,67139,.175175,"Wood frame",6,3,"Full basement","Unfinished","Steam","None","No",0,"Partial","Living area",1,0,0,"N/A",0,"Wood",1320,101
92,,"20","2027",691400,"Greater Grand Crossing",60619,1,.0124619,.9642758,.0027693,.0096926,.1516399,38808,.201335,"Masonry",8,5,"Full basement","Unfinished","Steam","None","No",0,"Full","Living area",1,0,1,"Wood frame","No","Wood",2400,88
93,,"19","1917",640300,"Clearing",60638,1,.7821445,.0103667,.1638558,.4497911,.1134192,55952,.076139,"Wood frame and masonry",6,3,"Partial basement","Formal rec-room","Warm air","None","No",0,"Full","Living area",1,0,2,"Wood frame","No","N/A",1598,47
94,,"13","1314",140601,"Albany Park",60625,0,.4856425,.0233309,.4529792,.6051687,.1265738,45972,.269935,"Wood frame",5,2,"Full basement","Unfinished","Warm air","None","No",0,"Partial","Unfinished",1,0,2,"Wood frame","No","Wood",986,86
95,,"13","1319",170300,"Dunning",60634,0,.818873,.0103334,.1470072,.2618444,.159953,57950,.178183,"Wood frame",4,2,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",1,0,0,"N/A",0,"N/A",936,88
96,,"19","1935",700401,"Ashburn",60652,0,.2307952,.5581631,.1917947,.3331082,.1451679,73949,.057804,"Wood frame and masonry",4,2,"Full basement","Formal rec-room","Warm air","None","No",0,"Partial","Unfinished",1,0,2,"Wood frame","No","N/A",876,59
97,,"20","2031",700501,"Ashburn",60620,0,.056,.9056842,.0178246,.0421053,.1727965,81848,.076913,"Wood frame",4,2,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",960,51
98,,"13","1330",180100,"Montclare",60634,1,.7118258,.0204678,.2300195,.4337232,.1402945,44760,.141987,"Masonry",5,2,"Full basement","Unfinished","Steam","None","Yes",0,"Full","Unfinished",1,0,1,"Wood frame","No","Wood",1042,70
99,,"13","1331",250500,"Austin",60707,1,.5087556,.3132131,.1394269,.2491377,.2426299,67646,.106741,"Wood frame",5,3,"Slab basement","Unfinished","Warm air","None","Yes",0,"None",0,1,0,2,"Wood frame","No","N/A",1318,76
100,,"19","1918",561000,"Garfield Ridge",60638,1,.884131,.0065879,.0895175,.2466576,.1691602,62500,.093756,"Masonry",5,2,"Full basement","Unfinished","Warm air","None","Yes",0,"Full","Unfinished",1,0,2,"Wood frame","No","N/A",973,55
101,,"19","1919",640500,"Clearing",60638,1,.8178173,.0148954,.1435119,.3351475,.1332551,61600,.069563,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","Yes",0,"None",0,1,1,2,"Wood frame","No","N/A",1080,51
102,,"24","2413",750300,"Morgan Park",60655,0,.8924901,.0833992,.0130435,.0395257,.3093797,81607,.008699,"Wood frame",5,3,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1287,62
103,,"13","1320",150600,"Portage Park",60634,0,.7578669,.0120106,.1871247,.3713668,.1617816,60609,.097274,"Wood frame",5,3,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1264,82
104,,"13","1322",831700,"Portage Park",60641,1,.6274699,.020241,.2853012,.5440964,.2051613,67037,.088172,"Wood frame",7,3,"Full basement","Formal rec-room","Warm air","None","Yes",0,"Partial","Living area",2,0,0,"N/A",0,"Wood",1465,99
105,,"25","2508",730400,"Washington Heights",60643,0,.0108139,.9701195,.0042686,.0125213,.1516174,50294,.156399,"Masonry",5,2,"Full basement","Formal rec-room","Warm air","None","No",0,"None",0,1,0,2,"Wood frame","No","N/A",779,64
106,,"13","1313",40700,"Lincoln Square",60625,1,.7912264,.0329811,.1344861,.165546,.5165817,68611,.055485,"Wood frame",7,3,"Full basement","Unfinished","Steam","Unit heater","No",0,"None",0,1,1,2,"Wood frame","No","N/A",1562,93
107,,"11","1131",10702,"Rogers Park",60626,0,.4629593,.2245771,.2475209,.4711258,.2268569,39805,.34742,"Masonry",6,3,"Full basement","Formal rec-room","Warm air","None","No",0,"None",0,1,1,0,"N/A",0,"N/A",1341,46
108,,"19","1934",700302,"Ashburn",60652,0,.6236135,.1483362,.1983456,.4664411,.1484667,62269,.151085,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,2,"Wood frame","No","N/A",1230,46
109,,"17","1705",842300,"West Town",60642,1,.7031443,.169852,.0949445,.1075832,.5777981,106193,.162773,"Masonry",6,2,"Slab basement","Unfinished","Warm air","None","Yes",0,"None",0,2,1,2,"Masonry","Yes","N/A",1838,13
110,,"12","1211",100500,"Norwood Park",60656,1,.8795639,.004499,.0873854,.1038242,.2007344,77679,.011016,"Masonry",5,3,"Full basement","Unfinished","Warm air","None","Yes",0,"None",0,1,1,2,"Masonry","No","N/A",1102,55
111,,"13","1330",831600,"Montclare",60707,1,.570564,.0790922,.3059147,.6297112,.0985081,40810,.111785,"Wood frame",7,3,"Full basement","Formal rec-room","Warm air","None","Yes",0,"Full","Living area",2,1,1.5,"Wood frame","No","Wood",1436,83
112,,"26","2608",520400,"East Side",60617,1,.5366748,.0215159,.400978,.8090464,.0965825,45000,.197375,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","No",0,"Full","Unfinished",1,0,2,"Wood frame","No","Wood",1332,86
113,,"14","1433",71500,"Lincoln Park",60614,1,.8841887,.0488904,.0485437,.0409154,.6964016,85528,.079787,"Masonry",10,4,"Full basement","Formal rec-room","Warm air","None","Yes",0,"None",0,2,1,2,"Masonry","No","N/A",4800,121
