propertyid,price,township,neighborhood,censustract,community,zipcode,homeowner,white,black,asian,hispanic,college,medhinc,poverty,walls,rooms,beds,basement,basementfin,centralheat,otherheat,ac,fireplaces,attic,atticfin,fullbathrooms,halfbathrooms,garagesize,garageconstruction,garageattached,porch,squarefoot,age
751,334500,"13","1314",160400,"Irving Park",60618,1,.6625419,.0423658,.2330118,.4458893,.2336383,44813,.29999,"Wood frame",8,5,"Full basement","Unfinished","Steam","None","No",0,"None",0,1,0,2,"Wood frame","No","Wood",1103,103
752,2075000,"14","1420",62400,"Lake View",60657,0,.9190711,.0140746,.0471499,.0591133,.6382716,109609,.053704,"Wood frame",7,3,"Slab basement","Unfinished","Warm air","Unit heater","No",0,"Full","Living area",1,1,2,"Wood frame","No","Wood",1331,105
753,470000,"13","1321",150800,"Portage Park",60641,1,.6859848,.0289773,.2354167,.5382576,.1087181,57953,.150663,"Wood frame",8,4,"Full basement","Formal rec-room","Warm air","None","Yes",1,"None",0,3,1,2,"Wood frame","No","N/A",2514,3
754,417500,"13","1323",160900,"Irving Park",60618,0,.7517672,.0336798,.1663202,.3139293,.3264899,66523,.100857,"Wood frame",6,4,"Full basement","Unfinished","Warm air","None","No",0,"Full","Unfinished",1,0,2,"Wood frame","No","N/A",1588,98
755,245000,"12","1223",170600,"Dunning",60634,0,.8867094,.0016013,.0864692,.1441153,.1985623,52219,.067224,"Masonry",7,4,"Full basement","Unfinished","Warm air","None","Yes",0,"Partial","Living area",2,0,2,"Masonry","No","N/A",1474,50
756,230000,"10","1025",20200,"West Ridge",60645,1,.6094967,.0925704,.2646795,.1412522,.3034019,62415,.231477,"Masonry",6,3,"Full basement","Unfinished","Steam","None","No",0,"Partial","Unfinished",1,0,2.5,"Wood frame","No","Wood",1139,80
757,285000,"17","1733",840000,"Bridgeport",60616,1,.5324675,.0122449,.4285714,.2174397,.2440828,60863,.122781,"Masonry",5,3,"Slab basement","Unfinished","Warm air","None","Yes",0,"None",0,2,1,1,"Masonry","Yes","N/A",1808,25
758,178000,"19","1919",640500,"Clearing",60638,1,.8178173,.0148954,.1435119,.3351475,.1332551,61600,.069563,"Masonry",5,3,"Full basement","Unfinished","Steam","Unit heater","Yes",0,"None",0,1,0,2,"Wood frame","No","N/A",1052,46
759,165000,"26","2620",520500,"East Side",60617,0,.6754243,.0169728,.2713322,.6345036,.1232358,62965,.101205,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","Yes",0,"None",0,1,1,2,"Wood frame","No","N/A",1200,37
760,912000,"17","1721",330200,"Near South Side",60605,0,.4340515,.3289543,.2088807,.038886,.4701745,74519,.09664,"Masonry",7,3,"Slab basement","Unfinished","Warm air","None","Yes",1,"None",0,2,1,2,"Masonry","Yes","N/A",2621,16
761,345000,"13","1302",130100,"North Park",60659,0,.6610169,.0099357,.2924216,.0685759,.3437809,44654,.084059,"Masonry",4,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,0,"N/A",0,"N/A",980,56
762,635000,"13","1336",221400,"Logan Square",60647,1,.6142384,.0254967,.3211921,.5890728,.1995428,45724,.215545,"Masonry",6,3,"Full basement","Formal rec-room","Warm air","None","Yes",2,"None",0,3,1,1.5,"Masonry","No","N/A",1880,10
763,305000,"12","1201",100400,"Norwood Park",60631,0,.9106327,.0045662,.0636008,.1108937,.3119356,82679,.076506,"Masonry",5,2,"Full basement","Formal rec-room","Warm air","None","No",0,"Full","Unfinished",1,0,1.5,"Wood frame","No","N/A",1012,49
764,378000,"13","1335",222700,"Logan Square",60647,1,.5163311,.153915,.2836689,.6657718,.1040017,42608,.339397,"Wood frame",4,3,"Slab basement","Unfinished","Warm air","None","No",0,"None",0,1,0,1,"Wood frame","No","N/A",1101,105
765,485000,"10","1033",120200,"Forest Glen",60646,1,.872009,.0049661,.0957111,.0799097,.3835964,89773,.024191,"Wood frame",6,4,"Full basement","Formal rec-room","Warm air","None","No",2,"Partial","Living area",1,1,1,"Masonry","Yes","N/A",1804,71
766,200000,"19","1908",560800,"Garfield Ridge",60638,1,.8235077,.0025873,.1491406,.350767,.1605667,62731,.055218,"Masonry",4,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,2.5,"Wood frame","No","N/A",1040,58
767,276500,"12","1224",170400,"Dunning",60634,1,.8607235,.0087855,.1023256,.1912145,.2020624,64815,.170213,"Masonry",4,2,"Full basement","Unfinished","Warm air","None","No",0,"None",0,1,0,0,"N/A",0,"N/A",1008,47
768,200000,"10","1036",20601,"West Ridge",60645,0,.6151425,.0478514,.2836455,.15898,.2035811,43047,.276708,"Masonry",6,3,"Full basement","Formal rec-room","Warm air","None","No",0,"None",0,1,1,1,"Masonry","No","Wood",1152,61
769,199000,"24","2412",720400,"Beverly",60655,1,.8934512,.0680873,.0192308,.0680873,.315892,94440,.004867,"Masonry",6,3,"Full basement","Unfinished","Warm air","None","No",0,"Partial","Unfinished",1,0,1,"Wood frame","No","N/A",1200,57
770,220000,"25","2518",750200,"Morgan Park",60643,0,.3910753,.5655407,.0207623,.0362566,.3059444,60833,.070805,"Wood frame",5,2,"Partial basement","Unfinished","Warm air","None","No",1,"Partial","Unfinished",1,0,0,"N/A",0,"Wood",952,92
771,265000,"13","1308",110300,"Jefferson Park",60630,0,.808758,.0087192,.1526836,.1749661,.2384769,67361,.076353,"Wood frame",7,4,"Full basement","Unfinished","Warm air","None","No",0,"Full","Living area",2,0,2,"Wood frame","No","N/A",2200,79
772,193000,"19","1922",650500,"West Lawn",60629,1,.5464827,.139335,.2791224,.689663,.1344366,44915,.181818,"Masonry",7,3,"Partial basement","Formal rec-room","Warm air","None","No",0,"Full","Living area",2,0,1.5,"Wood frame","No","Wood",1525,52
773,3440500,"14","1432",832600,"Lincoln Park",60614,0,.9176281,.0228065,.042125,.0332707,.6543595,123851,.111513,"Masonry",6,2,"Full basement","Unfinished","Steam","None","No",0,"Full","Unfinished",2,0,2,"Wood frame","No","Wood",1080,123
